date,pm25,pm10,no2,so2,co,o3,month,dayofweek,is_winter,pm25_lag1,pm25_lag7,pm25_lag14,pm25_roll3,pm25_roll7,pm25_roll14,pm25_std7,pm10_roll7,no2_roll7,so2_roll7,co_roll7,o3_roll7,pm25_tomorrow,unsafe_tomorrow,isoforest_flag,ocsvm_flag,is_high_pm25
2014-01-15,336.0,458.0,27.0,6.0,30.0,3.0,1,2,1,314.0,363.0,288.0,306.6666666666667,339.85714285714283,352.14285714285717,74.70481593451333,379.14285714285717,31.428571428571427,5.714285714285714,29.142857142857142,9.428571428571429,406.0,1,-1,-1,1
2014-01-16,406.0,387.0,26.0,4.0,25.0,6.0,1,3,1,336.0,344.0,288.0,352.0,348.7142857142857,360.57142857142856,78.83889540430805,344.57142857142856,28.857142857142858,5.714285714285714,27.142857142857142,9.285714285714286,377.0,1,-1,-1,1
2014-01-17,377.0,287.0,19.0,9.0,24.0,3.0,1,4,1,406.0,469.0,266.0,373.0,335.57142857142856,368.5,61.12243762279425,319.2857142857143,26.0,6.142857142857143,27.0,8.714285714285714,305.0,1,-1,-1,1
2014-01-18,305.0,258.0,21.333333333333332,7.333333333333333,25.0,7.333333333333333,1,5,1,377.0,396.0,292.0,362.6666666666667,322.57142857142856,369.42857142857144,55.55134904709673,327.2857142857143,25.904761904761905,6.333333333333334,26.714285714285715,8.476190476190476,255.0,1,-1,-1,1
2014-01-20,255.0,200.0,26.0,4.0,27.0,16.0,1,0,1,305.0,250.0,465.0,312.3333333333333,323.2857142857143,354.42857142857144,54.484598085802396,322.0,25.761904761904763,6.190476190476191,26.714285714285715,9.047619047619047,230.0,1,-1,-1,0
2014-01-21,230.0,115.0,22.0,8.0,27.0,4.0,1,1,1,255.0,270.0,500.0,263.3333333333333,317.57142857142856,335.14285714285717,62.51095142148327,295.14285714285717,24.476190476190478,6.476190476190476,26.428571428571427,7.761904761904761,183.0,1,-1,-1,0
2014-01-22,183.0,91.0,18.0,10.0,22.0,4.0,1,2,1,230.0,314.0,377.0,222.66666666666666,298.85714285714283,321.2857142857143,80.71643486392873,256.57142857142856,22.761904761904763,6.904761904761904,25.714285714285715,6.19047619047619,165.0,1,-1,-1,0
2014-01-23,165.0,108.0,28.0,6.0,26.0,6.0,1,3,1,183.0,336.0,363.0,192.66666666666666,274.42857142857144,307.14285714285717,92.60283858654499,206.57142857142858,22.904761904761905,6.904761904761904,25.142857142857142,6.619047619047619,180.0,1,-1,-1,0
2014-01-24,180.0,127.0,37.0,7.0,21.0,6.0,1,4,1,165.0,406.0,344.0,176.0,242.14285714285714,295.42857142857144,77.20196148507397,169.42857142857142,24.476190476190474,7.333333333333333,24.571428571428573,6.619047619047619,198.0,1,-1,-1,0
2014-01-25,198.0,128.0,34.0,6.0,20.0,6.0,1,5,1,180.0,377.0,469.0,181.0,216.57142857142858,276.07142857142856,49.90944180165075,146.71428571428572,26.619047619047617,6.904761904761904,24.0,7.047619047619047,205.0,1,-1,-1,0
2014-01-26,205.0,164.0,36.0,9.0,24.0,14.0,1,6,1,198.0,305.0,396.0,194.33333333333334,202.28571428571428,262.42857142857144,31.175387117159314,133.28571428571428,28.714285714285715,7.142857142857143,23.857142857142858,8.0,228.0,1,-1,1,0
2014-01-27,228.0,212.0,57.0,10.0,22.0,13.0,1,0,1,205.0,255.0,250.0,210.33333333333334,198.42857142857142,260.85714285714283,24.527923834255283,135.0,33.142857142857146,8.0,23.142857142857142,7.571428571428571,261.0,1,-1,1,0
